transaksi_flashsale_pre,total_transaksi_pre,avg_spending_pre,kota_pengguna,platform_device,is_premium_member,prompt_variant_mudah,opted_out_notif,transaksi_flashsale_post
0,7,174415.0,Medan,Android,0,1,1,0
0,9,185425.0,Medan,iOS,0,0,1,0
3,9,129885.0,Bandung,iOS,1,1,1,4
2,9,186137.0,Jakarta,Android,1,0,0,4
2,13,179734.0,Bandung,iOS,0,1,1,2
1,12,145497.0,Surabaya,Android,0,0,0,2
2,9,141272.0,Surabaya,Android,1,0,0,3
2,10,90544.0,Yogyakarta,Android,1,1,0,3
0,4,282429.0,Makassar,Android,0,0,1,0
1,2,143172.0,Bandung,Android,0,0,0,2
3,9,146641.0,Yogyakarta,Web,0,0,0,6
4,6,62061.0,Makassar,Web,1,1,1,6
3,4,158931.0,Bandung,Android,0,1,1,3
0,2,161639.0,Surabaya,Android,1,1,0,2
0,8,234821.0,Yogyakarta,Android,1,0,0,1
0,6,197402.0,Surabaya,Android,0,1,0,1
1,9,150403.0,Yogyakarta,iOS,1,0,0,3
2,6,151787.0,Jakarta,iOS,0,1,1,3
2,7,179762.0,Jakarta,Android,1,1,1,1
5,9,183141.0,Makassar,Android,1,0,0,7
1,10,124805.0,Medan,Android,0,0,0,2
3,10,145843.0,Yogyakarta,Web,0,1,0,4
4,7,158335.0,Bandung,Android,0,1,0,5
2,6,182947.0,Jakarta,iOS,0,0,1,2
3,5,127125.0,Jakarta,Android,1,0,0,4
2,4,147089.0,Yogyakarta,iOS,1,0,1,1
1,6,155981.0,Bandung,Android,0,1,1,1
4,5,135998.0,Jakarta,Android,0,1,1,3
1,7,183111.0,Jakarta,Android,0,1,1,1
3,7,106967.0,Jakarta,Android,1,1,1,4
1,11,122535.0,Yogyakarta,Android,0,1,1,1
1,7,156084.0,Yogyakarta,iOS,0,0,0,3
3,9,114593.0,Surabaya,Android,0,0,0,5
0,4,165852.0,Makassar,Android,0,0,1,0
1,10,247734.0,Makassar,iOS,1,0,0,2
1,10,83847.0,Surabaya,Android,0,1,0,3
0,8,244114.0,Surabaya,iOS,0,0,0,2
1,7,250193.0,Makassar,iOS,1,0,1,0
2,8,143392.0,Medan,iOS,0,1,1,1
0,9,108172.0,Yogyakarta,Android,1,0,1,0
3,2,108730.0,Bandung,Web,0,0,0,5
4,6,99231.0,Makassar,iOS,0,1,0,5
4,8,246513.0,Makassar,Android,1,0,1,3
1,12,118963.0,Makassar,iOS,1,1,1,1
1,8,164789.0,Surabaya,Android,0,0,1,2
0,4,18596.0,Bandung,Android,0,0,0,2
0,11,226166.0,Bandung,iOS,0,1,0,0
4,13,80004.0,Makassar,Android,0,0,1,4
2,8,134033.0,Bandung,Android,1,1,1,3
1,8,185047.0,Surabaya,iOS,0,1,1,1
1,12,89659.0,Yogyakarta,Web,1,1,1,0
3,6,176559.0,Medan,Android,0,1,1,3
4,6,100303.0,Makassar,Web,1,1,1,4
4,7,119126.0,Medan,Android,0,0,0,5
3,9,173341.0,Bandung,Web,1,1,1,3
2,10,153876.0,Surabaya,Android,0,0,1,3
2,10,139748.0,Jakarta,iOS,0,1,1,2
0,12,181354.0,Surabaya,Web,0,0,0,2
4,3,151270.0,Bandung,Android,0,1,1,5
2,12,77853.0,Medan,Android,0,0,1,2
5,3,112149.0,Medan,iOS,1,1,0,6
2,6,161295.0,Jakarta,iOS,0,0,0,4
0,13,194974.0,Medan,Web,1,0,1,1
3,9,207551.0,Jakarta,Android,0,1,1,2
5,13,204752.0,Medan,Android,0,0,0,6
1,8,83284.0,Medan,Android,0,1,1,1
0,4,132026.0,Yogyakarta,Android,1,0,0,1
8,10,201127.0,Surabaya,Android,1,1,1,7
1,13,73775.0,Bandung,Android,0,1,1,1
2,8,227161.0,Bandung,Android,0,0,0,4
3,5,106473.0,Makassar,iOS,0,0,0,4
4,8,128090.0,Medan,Android,0,0,0,3
3,8,284342.0,Yogyakarta,Android,0,1,0,4
0,10,118176.0,Jakarta,Android,0,1,0,1
0,7,135941.0,Medan,Android,0,1,1,1
3,11,94049.0,Bandung,Android,1,1,1,4
1,5,117164.0,Makassar,Web,1,1,0,1
2,9,154319.0,Makassar,Android,0,1,1,3
3,9,113138.0,Surabaya,iOS,0,0,1,4
5,6,124338.0,Medan,Android,1,1,1,6
2,8,141180.0,Bandung,iOS,0,0,0,3
3,6,137540.0,Jakarta,Android,1,1,1,3
2,8,143552.0,Yogyakarta,Android,0,1,0,3
0,4,158895.0,Surabaya,iOS,1,0,0,1
0,11,92622.0,Bandung,Android,1,0,0,1
1,10,143774.0,Makassar,Android,0,0,0,2
1,9,183048.0,Bandung,Android,1,1,1,1
3,4,162976.0,Jakarta,Android,0,1,1,3
1,10,101169.0,Surabaya,Android,0,0,0,1
0,6,117133.0,Medan,Android,0,1,1,0
1,10,177911.0,Medan,iOS,0,0,1,1
1,4,62616.0,Jakarta,iOS,0,0,1,1
0,5,167877.0,Surabaya,Android,1,0,0,0
1,5,98942.0,Yogyakarta,iOS,0,0,0,2
2,12,245869.0,Surabaya,Web,0,0,0,3
0,8,146533.0,Makassar,iOS,1,0,1,0
2,11,178101.0,Makassar,Android,1,1,1,2
2,11,171922.0,Medan,iOS,0,0,0,2
3,10,69348.0,Bandung,Android,0,0,0,5
1,10,105224.0,Bandung,iOS,0,1,1,1
2,5,138778.0,Surabaya,Web,1,0,1,3
2,11,210851.0,Yogyakarta,Android,1,1,1,1
3,9,164253.0,Bandung,Android,0,1,1,4
1,7,60205.0,Makassar,Android,0,0,0,2
2,6,131001.0,Jakarta,Android,1,1,1,1
1,5,158728.0,Yogyakarta,Android,0,1,1,0
0,9,117151.0,Bandung,Android,1,1,1,0
1,14,149572.0,Surabaya,Android,0,1,1,0
1,8,174960.0,Makassar,Android,1,1,1,1
5,5,219165.0,Surabaya,iOS,1,0,1,5
3,4,182583.0,Jakarta,Web,0,1,1,4
0,15,178063.0,Medan,Android,1,0,0,1
1,6,158633.0,Bandung,iOS,1,1,0,2
2,7,155761.0,Yogyakarta,Android,0,0,0,4
3,9,133050.0,Yogyakarta,iOS,0,1,1,3
1,8,184202.0,Yogyakarta,iOS,0,0,0,3
1,6,212872.0,Makassar,Android,0,0,0,1
1,8,204176.0,Jakarta,Web,0,0,1,1
1,8,104476.0,Jakarta,Web,1,0,0,4
3,10,109968.0,Bandung,Android,0,0,1,3
4,8,135725.0,Medan,iOS,0,0,0,5
1,8,147397.0,Surabaya,iOS,0,0,0,3
3,6,157806.0,Jakarta,Android,0,1,0,4
2,10,174733.0,Medan,iOS,0,1,1,1
2,7,250028.0,Surabaya,Web,1,0,0,3
0,6,210310.0,Bandung,Web,0,1,1,0
2,9,182258.0,Surabaya,Android,0,1,1,0
1,2,189400.0,Bandung,iOS,0,1,0,3
1,8,86176.0,Medan,Android,0,0,0,2
1,5,77274.0,Yogyakarta,Android,0,0,1,1
0,7,196383.0,Yogyakarta,Android,1,1,0,1
3,6,142749.0,Makassar,Android,0,1,0,5
4,6,96077.0,Jakarta,Android,1,0,0,4
4,5,122831.0,Jakarta,Android,0,1,1,4
2,12,138364.0,Jakarta,iOS,0,1,1,3
0,7,129026.0,Yogyakarta,iOS,0,1,1,0
3,6,151267.0,Surabaya,iOS,0,0,1,3
2,10,119251.0,Yogyakarta,Android,0,0,0,4
1,3,132845.0,Surabaya,Android,1,1,1,0
2,6,107754.0,Makassar,Android,0,1,1,2
3,7,203864.0,Medan,Android,0,1,1,3
2,14,134190.0,Makassar,Web,1,1,0,3
2,8,254591.0,Surabaya,Android,0,0,0,6
4,6,146548.0,Bandung,Android,0,1,1,5
0,11,116640.0,Medan,Android,0,1,1,1
3,5,189301.0,Medan,iOS,0,0,0,3
5,4,160768.0,Jakarta,Android,1,1,1,5
1,4,168128.0,Makassar,Android,0,1,0,3
1,7,173908.0,Jakarta,Android,0,0,0,3
3,10,122705.0,Surabaya,iOS,0,1,1,3
1,8,142834.0,Jakarta,Android,0,0,1,1
1,10,109697.0,Jakarta,Android,0,1,0,2
2,11,135458.0,Surabaya,Android,0,0,0,4
2,14,129541.0,Makassar,Android,1,1,1,1
3,7,168863.0,Bandung,Android,0,1,0,5
1,9,164436.0,Bandung,Android,1,1,0,1
3,11,47779.0,Bandung,Android,0,0,0,4
2,7,184030.0,Yogyakarta,Web,0,1,1,1
2,6,81207.0,Yogyakarta,Android,1,0,1,3
6,8,199683.0,Bandung,iOS,1,1,1,6
3,9,139368.0,Bandung,Android,1,1,0,5
3,12,37281.0,Jakarta,Android,1,1,1,3
2,10,125866.0,Surabaya,Android,1,0,0,4
4,9,136123.0,Bandung,iOS,1,1,0,3
0,10,103471.0,Jakarta,Android,0,0,0,1
2,6,178961.0,Bandung,iOS,0,1,1,3
1,9,113337.0,Makassar,iOS,0,1,1,1
3,12,252075.0,Bandung,iOS,0,1,1,3
2,13,177217.0,Yogyakarta,iOS,0,0,1,2
1,6,109838.0,Jakarta,iOS,0,1,1,0
1,13,133397.0,Bandung,Android,1,0,0,1
3,4,170869.0,Bandung,Android,0,0,0,5
1,8,194273.0,Makassar,Android,0,0,0,1
1,11,177426.0,Bandung,Android,0,1,1,2
2,7,163635.0,Makassar,Android,1,1,0,5
0,5,120950.0,Yogyakarta,iOS,0,1,0,1
3,8,169318.0,Medan,iOS,0,0,0,4
3,8,80842.0,Jakarta,iOS,0,1,1,4
1,3,105488.0,Makassar,Android,0,1,1,1
2,5,128983.0,Yogyakarta,iOS,0,0,0,3
3,8,141322.0,Surabaya,iOS,1,1,1,3
2,8,147775.0,Yogyakarta,Android,1,1,1,0
3,5,149838.0,Makassar,Android,0,1,1,4
2,7,160682.0,Jakarta,Android,1,1,0,4
0,11,111349.0,Bandung,iOS,0,0,0,1
1,7,160018.0,Makassar,Web,0,0,0,1
1,5,227077.0,Jakarta,Android,0,0,0,3
1,8,170283.0,Yogyakarta,Android,0,1,1,1
1,12,186851.0,Makassar,Android,0,0,0,2
0,7,178470.0,Jakarta,Web,0,0,1,0
2,5,183127.0,Jakarta,iOS,0,0,0,5
1,9,96116.0,Medan,Android,0,1,0,3
3,6,143290.0,Bandung,Android,0,1,0,4
2,6,199165.0,Medan,Android,0,0,1,2
2,6,91702.0,Yogyakarta,Android,0,1,0,2
0,6,207317.0,Surabaya,iOS,0,0,0,1
1,9,177177.0,Jakarta,Android,0,1,1,1
1,5,172103.0,Yogyakarta,Android,0,1,1,1
3,7,158486.0,Makassar,Android,0,0,0,5
1,8,90298.0,Makassar,Android,0,1,1,0
2,6,66666.0,Makassar,Android,0,0,0,4
2,4,160804.0,Yogyakarta,Android,1,0,0,4
3,8,158286.0,Makassar,Android,0,1,1,3
4,6,91167.0,Bandung,Android,0,0,1,4
0,8,120845.0,Medan,Android,0,1,1,0
2,4,203922.0,Yogyakarta,Android,0,0,0,4
1,9,171227.0,Surabaya,iOS,0,1,1,1
3,8,107031.0,Medan,Android,1,1,1,3
1,10,95908.0,Jakarta,iOS,0,1,1,1
1,10,74944.0,Surabaya,Android,1,1,1,2
2,8,153431.0,Medan,Web,1,1,1,2
2,7,233775.0,Bandung,Android,0,1,1,2
0,12,164381.0,Bandung,Android,0,0,1,1
1,13,141173.0,Surabaya,Android,1,0,0,2
4,4,64521.0,Jakarta,iOS,0,1,0,4
3,9,181616.0,Jakarta,Android,0,1,1,3
0,9,148141.0,Surabaya,Android,0,1,1,1
1,7,123914.0,Jakarta,Android,0,1,0,2
0,14,165767.0,Medan,Android,0,1,1,0
2,10,118805.0,Bandung,Android,1,0,0,3
1,4,130022.0,Yogyakarta,Android,0,0,0,2
2,9,162656.0,Medan,iOS,0,0,0,3
4,6,63610.0,Surabaya,Android,0,0,0,5
0,5,125846.0,Yogyakarta,Android,1,0,1,0
2,6,132482.0,Makassar,Android,0,0,1,2
2,7,76756.0,Medan,iOS,0,1,0,4
1,7,174554.0,Jakarta,iOS,0,1,1,3
0,11,142461.0,Medan,Android,0,0,1,1
3,16,141186.0,Makassar,Android,0,1,0,4
3,5,128328.0,Jakarta,Android,0,1,0,4
2,7,64230.0,Bandung,Android,0,0,0,4
0,13,185300.0,Jakarta,Android,0,0,0,2
1,9,73616.0,Yogyakarta,Android,0,1,1,1
2,12,145332.0,Bandung,Android,0,0,0,3
5,7,135549.0,Bandung,Android,0,1,1,5
2,5,171949.0,Yogyakarta,Android,0,0,1,2
3,10,195434.0,Medan,Android,0,0,0,4
2,9,224794.0,Jakarta,Android,0,1,1,4
2,9,165254.0,Surabaya,iOS,1,1,0,3
5,7,236620.0,Medan,Web,1,1,1,4
4,7,112878.0,Yogyakarta,Android,0,1,1,5
2,7,178357.0,Surabaya,Web,0,1,0,2
0,12,111580.0,Surabaya,Android,1,0,0,1
3,8,201869.0,Bandung,Android,0,0,1,3
2,11,170124.0,Medan,iOS,0,1,1,3
3,9,197127.0,Yogyakarta,Android,0,1,1,5
1,5,154622.0,Medan,iOS,0,0,0,1
1,8,177645.0,Bandung,Android,0,0,0,2
5,8,135683.0,Jakarta,iOS,0,1,0,6
3,12,148663.0,Makassar,iOS,0,0,0,5
4,3,64585.0,Bandung,Android,0,0,1,6
2,12,147461.0,Jakarta,Android,1,1,1,3
1,11,175264.0,Makassar,Web,0,1,0,3
1,10,198235.0,Makassar,Android,1,1,0,2
0,9,152827.0,Jakarta,Android,0,0,0,2
0,5,283212.0,Makassar,Web,1,0,1,0
3,11,140789.0,Jakarta,iOS,0,1,0,5
3,7,147046.0,Medan,iOS,0,1,1,4
4,6,103357.0,Makassar,Android,0,1,0,6
2,7,72620.0,Yogyakarta,Android,1,1,1,2
4,13,206871.0,Makassar,Android,0,0,1,4
1,7,161085.0,Medan,Web,0,1,1,0
2,8,178581.0,Makassar,Android,1,0,0,4
0,7,143985.0,Medan,iOS,0,0,0,1
5,5,107153.0,Yogyakarta,iOS,0,0,0,6
2,4,171337.0,Yogyakarta,Android,0,0,0,1
2,9,186158.0,Jakarta,Android,0,1,1,2
3,7,97862.0,Bandung,Android,1,1,0,3
2,3,96346.0,Surabaya,Android,1,0,0,2
6,16,142263.0,Surabaya,Android,0,0,1,6
2,9,78093.0,Yogyakarta,Android,0,0,1,2
2,9,150467.0,Makassar,Android,0,1,1,2
2,9,167696.0,Jakarta,iOS,0,0,1,1
3,3,128396.0,Surabaya,Android,0,0,0,5
3,7,149107.0,Makassar,iOS,1,0,0,5
3,11,127443.0,Makassar,Android,0,1,1,2
6,8,210184.0,Bandung,iOS,0,0,0,7
1,6,133014.0,Yogyakarta,iOS,1,1,1,1
2,7,148105.0,Surabaya,iOS,1,0,1,2
1,7,117684.0,Bandung,Android,0,0,0,2
2,9,116990.0,Medan,Android,0,0,1,2
3,7,138048.0,Jakarta,iOS,0,1,0,5
3,6,129190.0,Jakarta,Android,0,0,1,3
2,6,200875.0,Medan,Android,0,1,1,2
1,6,153834.0,Bandung,Android,0,0,0,3
4,12,100094.0,Surabaya,iOS,1,1,1,3
1,8,196289.0,Surabaya,Android,0,1,1,2
2,9,179069.0,Bandung,iOS,1,0,1,3
2,12,83571.0,Bandung,Android,0,1,0,4
2,8,191479.0,Jakarta,Android,0,1,0,3
0,4,113429.0,Bandung,Web,1,0,0,1
4,8,103906.0,Bandung,Android,0,0,0,5
1,10,97752.0,Surabaya,Android,1,1,1,0
0,8,130556.0,Jakarta,Web,1,0,0,3
2,6,163261.0,Yogyakarta,Web,0,0,0,3
2,6,166800.0,Yogyakarta,Android,1,0,0,3
3,11,115125.0,Makassar,iOS,0,1,0,4
2,5,123959.0,Jakarta,iOS,0,1,1,3
0,8,177172.0,Yogyakarta,Web,0,1,1,0
2,7,96884.0,Makassar,Android,0,0,0,3
2,5,173592.0,Yogyakarta,Android,0,1,1,2
3,7,79064.0,Bandung,Web,0,0,0,5
2,12,201077.0,Jakarta,Android,0,0,0,3
2,11,197501.0,Surabaya,iOS,0,1,1,1
0,9,158959.0,Bandung,iOS,0,1,1,0
3,8,55923.0,Jakarta,Android,1,1,1,4
3,6,141064.0,Bandung,Android,0,1,1,3
4,5,196683.0,Yogyakarta,Android,1,1,0,5
0,6,96171.0,Yogyakarta,Android,1,0,0,0
4,9,213167.0,Medan,Android,1,0,0,6
0,8,193921.0,Jakarta,Android,0,0,1,1
2,9,234710.0,Bandung,Web,1,1,1,1
1,11,159722.0,Surabaya,iOS,0,0,0,2
2,10,171897.0,Makassar,Android,0,0,0,3
2,7,80811.0,Jakarta,iOS,1,1,0,3
0,8,264117.0,Surabaya,Android,1,1,0,2
2,2,164194.0,Bandung,Android,0,0,0,5
4,11,151999.0,Yogyakarta,iOS,0,1,0,6
1,13,83055.0,Makassar,Android,0,1,1,3
2,9,73965.0,Jakarta,iOS,0,0,0,2
3,6,64365.0,Medan,Android,0,0,0,4
0,5,83197.0,Jakarta,Web,1,1,1,0
2,8,130999.0,Makassar,Android,1,1,1,3
1,12,209719.0,Yogyakarta,iOS,0,0,0,0
0,6,171724.0,Surabaya,Android,0,1,0,3
1,10,146253.0,Makassar,Android,0,0,1,0
3,7,70421.0,Jakarta,Android,0,1,1,3
1,10,128405.0,Makassar,Android,0,1,0,1
2,5,162291.0,Yogyakarta,iOS,0,1,0,3
1,12,120370.0,Medan,iOS,0,0,0,2
5,9,174159.0,Makassar,Android,1,1,1,6
1,8,131071.0,Jakarta,Android,0,1,0,2
4,10,128990.0,Surabaya,Android,0,0,1,5
2,5,156301.0,Medan,Android,1,1,1,2
0,13,66822.0,Yogyakarta,Android,0,0,0,2
1,9,162058.0,Makassar,Android,0,0,1,0
3,9,137451.0,Bandung,Android,0,0,1,3
2,6,147941.0,Bandung,Android,0,0,0,3
3,9,79607.0,Yogyakarta,Android,1,0,1,2
3,6,185145.0,Jakarta,Android,0,1,0,3
1,4,135008.0,Makassar,Android,1,1,1,1
0,11,166770.0,Surabaya,Web,0,0,0,1
1,8,68547.0,Makassar,Android,0,0,1,2
4,7,73807.0,Jakarta,Android,0,1,0,5
2,6,226517.0,Jakarta,Android,0,1,1,2
4,8,82570.0,Surabaya,Android,0,1,1,4
3,5,192117.0,Medan,Android,1,1,1,2
2,5,93015.0,Bandung,Android,1,0,0,4
3,9,163964.0,Jakarta,Web,0,0,1,3
2,9,137612.0,Medan,Web,0,0,0,3
2,4,154085.0,Yogyakarta,Android,0,0,1,3
2,8,118885.0,Bandung,Web,0,1,1,2
3,10,132981.0,Jakarta,Android,0,0,0,4
1,4,149265.0,Makassar,iOS,1,1,1,2
2,8,210320.0,Surabaya,Android,0,0,0,2
3,8,146632.0,Jakarta,Web,0,1,0,4
2,3,141644.0,Surabaya,iOS,0,1,1,1
0,9,160744.0,Medan,iOS,1,0,1,0
1,8,62716.0,Bandung,Android,1,0,0,1
2,6,42674.0,Jakarta,Android,0,0,0,4
2,6,148272.0,Jakarta,Web,1,0,1,2
1,8,158994.0,Makassar,Android,0,0,0,2
0,4,91278.0,Bandung,Web,1,0,1,0
5,7,120959.0,Medan,Android,0,1,0,7
2,5,102733.0,Jakarta,iOS,0,0,0,3
1,8,92050.0,Yogyakarta,Android,0,0,0,3
2,12,141609.0,Makassar,Web,0,1,1,2
0,6,177035.0,Surabaya,Android,0,1,0,1
2,8,204066.0,Yogyakarta,Android,0,0,0,3
1,8,73280.0,Jakarta,Web,0,0,1,0
3,10,126981.0,Surabaya,Android,0,1,1,3
4,6,183547.0,Yogyakarta,Android,1,1,0,6
2,10,175920.0,Yogyakarta,Android,0,0,0,3
0,8,161336.0,Medan,Android,0,0,0,3
2,10,77832.0,Bandung,iOS,0,0,0,3
2,8,47550.0,Medan,Android,0,1,1,2
3,11,141147.0,Surabaya,Android,0,0,1,2
5,8,162353.0,Medan,iOS,0,1,1,7
2,13,140279.0,Yogyakarta,Android,0,1,1,2
3,2,129502.0,Makassar,Android,0,0,1,3
3,5,217859.0,Surabaya,Android,0,0,0,5
2,8,115677.0,Yogyakarta,iOS,0,0,0,3
5,7,114027.0,Medan,Android,1,0,0,5
2,10,119877.0,Surabaya,iOS,0,1,1,2
5,12,130624.0,Yogyakarta,Android,1,1,0,6
0,6,75899.0,Jakarta,iOS,1,0,0,1
1,12,187615.0,Makassar,Android,0,1,1,0
1,7,124757.0,Medan,Android,1,1,0,3
2,6,134175.0,Makassar,iOS,0,1,0,4
1,8,154437.0,Bandung,iOS,1,0,0,1
1,8,155135.0,Yogyakarta,iOS,0,0,0,2
0,8,136468.0,Surabaya,Android,0,0,0,5
3,7,168781.0,Surabaya,Android,1,1,0,5
3,13,133812.0,Jakarta,Android,1,0,1,3
0,5,156777.0,Makassar,iOS,0,0,0,1
1,6,76251.0,Medan,Android,0,1,1,2
2,9,153113.0,Yogyakarta,iOS,0,0,1,3
5,7,206541.0,Medan,Android,0,0,1,5
1,5,191305.0,Jakarta,Android,1,1,0,3
3,10,226532.0,Yogyakarta,Android,0,0,0,3
0,7,191807.0,Medan,Android,0,1,1,0
2,4,233201.0,Medan,iOS,0,0,0,5
1,2,164013.0,Medan,iOS,0,1,0,2
1,10,164512.0,Jakarta,Android,0,0,0,2
2,7,129322.0,Medan,iOS,1,0,0,4
2,5,191654.0,Jakarta,iOS,0,0,0,3
1,9,111654.0,Yogyakarta,Android,1,1,0,3
1,8,195045.0,Medan,Android,0,1,0,3
1,13,174675.0,Bandung,Android,1,1,1,1
1,10,143743.0,Makassar,iOS,0,0,0,2
3,8,89528.0,Yogyakarta,iOS,0,0,1,1
2,12,58130.0,Medan,Android,0,1,1,2
5,7,111363.0,Medan,Web,0,0,1,6
1,4,149470.0,Medan,Android,1,1,0,1
3,9,186602.0,Medan,Android,0,1,0,3
2,9,113184.0,Surabaya,iOS,0,1,0,2
3,7,112216.0,Jakarta,Android,0,1,0,4
3,14,181558.0,Surabaya,iOS,0,1,0,3
3,6,63182.0,Makassar,Android,0,0,1,3
0,7,144738.0,Jakarta,Android,0,0,0,1
